scenario,cluster_count,cluster_size,sample_size,epsilon,replicate,method,effect,truth,estimate,error,fit_success,iterations,gradient_norm,coefficient_norm
complex,200,8,1600,0.5,2,doi_nonprivate_generic,spillover_treated,0.1731328632,0.1749968897,0.001864026469,True,79,0.003272855655,4.581147617
complex,200,8,1600,0.5,2,doi_private_generic,direct_low,0.09860674353,0.1608758467,0.06226910318,True,45,0.0001068229504,6.866148491
complex,200,8,1600,0.5,2,doi_private_generic,direct_high,0.1616022877,0.0009663849872,-0.1606359027,True,45,0.0001068229504,6.866148491
complex,200,8,1600,0.5,2,doi_private_generic,spillover_control,0.110137319,0.1204875933,0.0103502743,True,45,0.0001068229504,6.866148491
complex,200,8,1600,0.5,2,doi_private_generic,spillover_treated,0.1731328632,-0.03942186839,-0.2125547316,True,45,0.0001068229504,6.866148491
complex,200,8,1600,0.5,2,doi_private_no_interference,direct_low,0.09860674353,0.1121646683,0.01355792474,True,9,2.878133387e-05,1.752312637
complex,200,8,1600,0.5,2,doi_private_no_interference,direct_high,0.1616022877,0.1121646683,-0.04943761941,True,9,2.878133387e-05,1.752312637
complex,200,8,1600,0.5,2,doi_private_no_interference,spillover_control,0.110137319,0,-0.110137319,True,9,2.878133387e-05,1.752312637
complex,200,8,1600,0.5,2,doi_private_no_interference,spillover_treated,0.1731328632,0,-0.1731328632,True,9,2.878133387e-05,1.752312637
complex,200,8,1600,1,2,design_ht,direct_low,0.09860674353,0.132749813,0.03414306948,True,0,0,0
complex,200,8,1600,1,2,design_ht,direct_high,0.1616022877,0.05987554092,-0.1017267468,True,0,0,0
complex,200,8,1600,1,2,design_ht,spillover_control,0.110137319,0.1618486484,0.05171132931,True,0,0,0
complex,200,8,1600,1,2,design_ht,spillover_treated,0.1731328632,0.08897437626,-0.08415848692,True,0,0,0
complex,200,8,1600,1,2,doi_nonprivate_generic,direct_low,0.09860674353,0.09829259222,-0.0003141513147,True,79,0.003272855655,4.581147617
complex,200,8,1600,1,2,doi_nonprivate_generic,direct_high,0.1616022877,0.157745578,-0.003856709683,True,79,0.003272855655,4.581147617
complex,200,8,1600,1,2,doi_nonprivate_generic,spillover_control,0.110137319,0.1155439039,0.005406584838,True,79,0.003272855655,4.581147617
complex,200,8,1600,1,2,doi_nonprivate_generic,spillover_treated,0.1731328632,0.1749968897,0.001864026469,True,79,0.003272855655,4.581147617
complex,200,8,1600,1,2,doi_private_generic,direct_low,0.09860674353,0.1278731298,0.02926638623,True,56,0.0007020281273,4.372447281
complex,200,8,1600,1,2,doi_private_generic,direct_high,0.1616022877,0.1119364023,-0.04966588534,True,56,0.0007020281273,4.372447281
complex,200,8,1600,1,2,doi_private_generic,spillover_control,0.110137319,0.194933062,0.08479574299,True,56,0.0007020281273,4.372447281
complex,200,8,1600,1,2,doi_private_generic,spillover_treated,0.1731328632,0.1789963346,0.005863471419,True,56,0.0007020281273,4.372447281
complex,200,8,1600,1,2,doi_private_no_interference,direct_low,0.09860674353,0.2407087847,0.1421020411,True,11,6.849135662e-05,1.268975646
complex,200,8,1600,1,2,doi_private_no_interference,direct_high,0.1616022877,0.2407087847,0.07910649698,True,11,6.849135662e-05,1.268975646
complex,200,8,1600,1,2,doi_private_no_interference,spillover_control,0.110137319,0,-0.110137319,True,11,6.849135662e-05,1.268975646
complex,200,8,1600,1,2,doi_private_no_interference,spillover_treated,0.1731328632,0,-0.1731328632,True,11,6.849135662e-05,1.268975646
complex,200,8,1600,2,2,design_ht,direct_low,0.09860674353,0.06815161706,-0.03045512647,True,0,0,0
complex,200,8,1600,2,2,design_ht,direct_high,0.1616022877,0.1091022048,-0.0525000829,True,0,0,0
complex,200,8,1600,2,2,design_ht,spillover_control,0.110137319,0.08418396973,-0.02595334931,True,0,0,0
complex,200,8,1600,2,2,design_ht,spillover_treated,0.1731328632,0.1251345574,-0.04799830574,True,0,0,0
complex,200,8,1600,2,2,doi_nonprivate_generic,direct_low,0.09860674353,0.09829259222,-0.0003141513147,True,79,0.003272855655,4.581147617
complex,200,8,1600,2,2,doi_nonprivate_generic,direct_high,0.1616022877,0.157745578,-0.003856709683,True,79,0.003272855655,4.581147617
complex,200,8,1600,2,2,doi_nonprivate_generic,spillover_control,0.110137319,0.1155439039,0.005406584838,True,79,0.003272855655,4.581147617
complex,200,8,1600,2,2,doi_nonprivate_generic,spillover_treated,0.1731328632,0.1749968897,0.001864026469,True,79,0.003272855655,4.581147617
complex,200,8,1600,2,2,doi_private_generic,direct_low,0.09860674353,0.06769643033,-0.0309103132,True,85,0.002576637362,4.366842722
complex,200,8,1600,2,2,doi_private_generic,direct_high,0.1616022877,0.1623819952,0.0007797075254,True,85,0.002576637362,4.366842722
complex,200,8,1600,2,2,doi_private_generic,spillover_control,0.110137319,0.1382799358,0.02814261677,True,85,0.002576637362,4.366842722
complex,200,8,1600,2,2,doi_private_generic,spillover_treated,0.1731328632,0.2329655007,0.05983263749,True,85,0.002576637362,4.366842722
complex,200,8,1600,2,2,doi_private_no_interference,direct_low,0.09860674353,0.217183306,0.1185765625,True,10,9.391711057e-05,1.517156606
complex,200,8,1600,2,2,doi_private_no_interference,direct_high,0.1616022877,0.217183306,0.05558101837,True,10,9.391711057e-05,1.517156606
complex,200,8,1600,2,2,doi_private_no_interference,spillover_control,0.110137319,0,-0.110137319,True,10,9.391711057e-05,1.517156606
complex,200,8,1600,2,2,doi_private_no_interference,spillover_treated,0.1731328632,0,-0.1731328632,True,10,9.391711057e-05,1.517156606
complex,200,8,1600,0.5,3,design_ht,direct_low,0.09860674353,0.1148275702,0.01622082671,True,0,0,0
complex,200,8,1600,0.5,3,design_ht,direct_high,0.1616022877,0.6204584642,0.4588561766,True,0,0,0
complex,200,8,1600,0.5,3,design_ht,spillover_control,0.110137319,-0.08331823222,-0.1934555513,True,0,0,0
complex,200,8,1600,0.5,3,design_ht,spillover_treated,0.1731328632,0.4223126618,0.2491797986,True,0,0,0
complex,200,8,1600,0.5,3,doi_nonprivate_generic,direct_low,0.09860674353,0.09993644733,0.001329703802,True,99,0.005029171144,4.613784408
complex,200,8,1600,0.5,3,doi_nonprivate_generic,direct_high,0.1616022877,0.1542465807,-0.007355706929,True,99,0.005029171144,4.613784408
complex,200,8,1600,0.5,3,doi_nonprivate_generic,spillover_control,0.110137319,0.1167077861,0.006570467053,True,99,0.005029171144,4.613784408
complex,200,8,1600,0.5,3,doi_nonprivate_generic,spillover_treated,0.1731328632,0.1710179195,-0.002114943677,True,99,0.005029171144,4.613784408
complex,200,8,1600,0.5,3,doi_private_generic,direct_low,0.09860674353,0.2118596732,0.1132529296,True,42,0.0003628501952,5.87736948
complex,200,8,1600,0.5,3,doi_private_generic,direct_high,0.1616022877,0.4812213144,0.3196190267,True,42,0.0003628501952,5.87736948
complex,200,8,1600,0.5,3,doi_private_generic,spillover_control,0.110137319,-0.07340485475,-0.1835421738,True,42,0.0003628501952,5.87736948
complex,200,8,1600,0.5,3,doi_private_generic,spillover_treated,0.1731328632,0.1959567865,0.02282392327,True,42,0.0003628501952,5.87736948
complex,200,8,1600,0.5,3,doi_private_no_interference,direct_low,0.09860674353,0.4032594074,0.3046526639,True,11,2.524615765e-05,2.393052047
complex,200,8,1600,0.5,3,doi_private_no_interference,direct_high,0.1616022877,0.4032594074,0.2416571197,True,11,2.524615765e-05,2.393052047
complex,200,8,1600,0.5,3,doi_private_no_interference,spillover_control,0.110137319,0,-0.110137319,True,11,2.524615765e-05,2.393052047
complex,200,8,1600,0.5,3,doi_private_no_interference,spillover_treated,0.1731328632,0,-0.1731328632,True,11,2.524615765e-05,2.393052047
complex,200,8,1600,1,3,design_ht,direct_low,0.09860674353,0.0755904744,-0.02301626913,True,0,0,0
complex,200,8,1600,1,3,design_ht,direct_high,0.1616022877,0.1668940725,0.005291784871,True,0,0,0
complex,200,8,1600,1,3,design_ht,spillover_control,0.110137319,0.2677525377,0.1576152186,True,0,0,0
complex,200,8,1600,1,3,design_ht,spillover_treated,0.1731328632,0.3590561358,0.1859232726,True,0,0,0
complex,200,8,1600,1,3,doi_nonprivate_generic,direct_low,0.09860674353,0.09993644733,0.001329703802,True,99,0.005029171144,4.613784408
complex,200,8,1600,1,3,doi_nonprivate_generic,direct_high,0.1616022877,0.1542465807,-0.007355706929,True,99,0.005029171144,4.613784408
complex,200,8,1600,1,3,doi_nonprivate_generic,spillover_control,0.110137319,0.1167077861,0.006570467053,True,99,0.005029171144,4.613784408
complex,200,8,1600,1,3,doi_nonprivate_generic,spillover_treated,0.1731328632,0.1710179195,-0.002114943677,True,99,0.005029171144,4.613784408
complex,200,8,1600,1,3,doi_private_generic,direct_low,0.09860674353,0.1419238449,0.04331710135,True,72,0.002700306371,5.09907885
complex,200,8,1600,1,3,doi_private_generic,direct_high,0.1616022877,0.1105999541,-0.05100233356,True,72,0.002700306371,5.09907885
complex,200,8,1600,1,3,doi_private_generic,spillover_control,0.110137319,0.1940601282,0.08392280919,True,72,0.002700306371,5.09907885
complex,200,8,1600,1,3,doi_private_generic,spillover_treated,0.1731328632,0.1627362375,-0.01039662572,True,72,0.002700306371,5.09907885
complex,200,8,1600,1,3,doi_private_no_interference,direct_low,0.09860674353,0.2522428353,0.1536360917,True,11,0.0001135954666,1.628450528
complex,200,8,1600,1,3,doi_private_no_interference,direct_high,0.1616022877,0.2522428353,0.09064054759,True,11,0.0001135954666,1.628450528
complex,200,8,1600,1,3,doi_private_no_interference,spillover_control,0.110137319,0,-0.110137319,True,11,0.0001135954666,1.628450528
complex,200,8,1600,1,3,doi_private_no_interference,spillover_treated,0.1731328632,0,-0.1731328632,True,11,0.0001135954666,1.628450528
complex,200,8,1600,2,3,design_ht,direct_low,0.09860674353,0.1368057339,0.03819899036,True,0,0,0
complex,200,8,1600,2,3,design_ht,direct_high,0.1616022877,0.2285449987,0.06694271107,True,0,0,0
complex,200,8,1600,2,3,design_ht,spillover_control,0.110137319,0.2225127933,0.1123754742,True,0,0,0
complex,200,8,1600,2,3,design_ht,spillover_treated,0.1731328632,0.3142520581,0.1411191949,True,0,0,0
complex,200,8,1600,2,3,doi_nonprivate_generic,direct_low,0.09860674353,0.09993644733,0.001329703802,True,99,0.005029171144,4.613784408
complex,200,8,1600,2,3,doi_nonprivate_generic,direct_high,0.1616022877,0.1542465807,-0.007355706929,True,99,0.005029171144,4.613784408
complex,200,8,1600,2,3,doi_nonprivate_generic,spillover_control,0.110137319,0.1167077861,0.006570467053,True,99,0.005029171144,4.613784408
complex,200,8,1600,2,3,doi_nonprivate_generic,spillover_treated,0.1731328632,0.1710179195,-0.002114943677,True,99,0.005029171144,4.613784408
complex,200,8,1600,2,3,doi_private_generic,direct_low,0.09860674353,0.2167533077,0.1181465642,True,61,0.005034912547,5.613185191
complex,200,8,1600,2,3,doi_private_generic,direct_high,0.1616022877,0.1923332142,0.0307309265,True,61,0.005034912547,5.613185191
complex,200,8,1600,2,3,doi_private_generic,spillover_control,0.110137319,0.1254195868,0.01528226771,True,61,0.005034912547,5.613185191
complex,200,8,1600,2,3,doi_private_generic,spillover_treated,0.1731328632,0.1009994932,-0.07213336997,True,61,0.005034912547,5.613185191
complex,200,8,1600,2,3,doi_private_no_interference,direct_low,0.09860674353,0.2840636828,0.1854569393,True,11,7.282636601e-06,1.66654365
