scenario,cluster_count,cluster_size,sample_size,epsilon,method,effect,replications,bias,mcse_bias,rmse,mcse_rmse,projected_rmse,mcse_projected_rmse,outside_parameter_space,empirical_standard_deviation,average_standard_error,standard_error_ratio,coverage,mcse_coverage,coverage_low,coverage_high,average_interval_length,average_projected_interval_length
linear,100,16,1600,4,laplace,spillover_control,400,-0.007361944396,0.004221690493,0.08464894448,0.003024645555,0.08464894448,0.003024645555,0,0.08443380985,0.0887506721,1.051127176,0.95,0.01089724736,0.9240363649,0.9674025702,0.3522011761,0.3522011761
linear,100,16,1600,4,laplace,spillover_treated,400,-0.009053235497,0.005711769843,0.1144511365,0.004006184857,0.1144511365,0.004006184857,0,0.1142353969,0.1194246197,1.0454257,0.9575,0.01008634597,0.9329979457,0.973298305,0.4739287096,0.4739287096
linear,100,16,1600,4,naive_bit,direct_high,400,-0.00365625,0.003299513745,0.06600907327,0.002246101763,0.06600907327,0.002246101763,0,0.0659902749,0.06415837887,0.9722399091,0.9375,0.01210307296,0.9093658839,0.9573108586,0.2546082859,0.2546082859
linear,100,16,1600,4,naive_bit,direct_low,400,-0.0049921875,0.002925768212,0.05865500548,0.002051649841,0.05865500548,0.002051649841,0,0.05851536424,0.05912924241,1.010490889,0.9475,0.01115165346,0.9210780249,0.9654084716,0.2346504902,0.2346504902
linear,100,16,1600,4,naive_bit,spillover_control,400,-0.0115234375,0.004488760236,0.09040037626,0.003270623167,0.09040037626,0.003270623167,0,0.08977520473,0.0948552728,1.056586538,0.9625,0.009499177596,0.9390561576,0.9771449702,0.3764268805,0.3764268805
linear,100,16,1600,4,naive_bit,spillover_treated,400,-0.0101875,0.005878624656,0.1178665265,0.003976122989,0.1178665265,0.003976122989,0,0.1175724931,0.1227771957,1.04426803,0.965,0.009188987975,0.9421148605,0.9790387058,0.487233186,0.487233186
linear,100,16,1600,4,nonprivate,direct_high,400,0.002108437318,0.002348175708,0.04695213777,0.001509188286,0.04695213777,0.001509188286,0,0.04696351417,0.046912165,0.9989066157,0.94,0.01187434209,0.9122771511,0.9593520299,0.186167826,0.186167826
linear,100,16,1600,4,nonprivate,direct_low,400,0.003690553869,0.002032889927,0.04077430722,0.001527012536,0.04077430722,0.001527012536,0,0.04065779855,0.04125777542,1.014756748,0.95,0.01089724736,0.9240363649,0.9674025702,0.1637287547,0.1637287547
linear,100,16,1600,4,nonprivate,spillover_control,400,-0.008178085543,0.003979357493,0.07990719754,0.002765748809,0.07990719754,0.002765748809,0,0.07958714985,0.08317855435,1.045125432,0.95,0.01089724736,0.9240363649,0.9674025702,0.3300885951,0.3300885951
linear,100,16,1600,4,nonprivate,spillover_treated,400,-0.009760202095,0.005565016434,0.1115887777,0.003911446041,0.1115887777,0.003911446041,0,0.1113003287,0.1154596328,1.037370097,0.955,0.01036520622,0.9299952708,0.9713485413,0.4581939211,0.4581939211
linear,100,16,1600,4,one_bit,direct_high,400,0.002346609936,0.003365996895,0.06727667265,0.002265957529,0.06727667265,0.002265957529,0,0.0673199379,0.06545281664,0.9722649586,0.94,0.01187434209,0.9122771511,0.9593520299,0.2597451766,0.2597451766
linear,100,16,1600,4,one_bit,direct_low,400,-0.0003690247857,0.002983053917,0.05958759802,0.002064345376,0.05958759802,0.002064345376,0,0.05966107834,0.0602770388,1.010324327,0.955,0.01036520622,0.9299952708,0.9713485413,0.2392054444,0.2392054444
linear,100,16,1600,4,one_bit,spillover_control,400,-0.006654522367,0.004491850001,0.08997106492,0.003323531221,0.08997106492,0.003323531221,0,0.08983700001,0.09490211584,1.056381177,0.9625,0.009499177596,0.9390561576,0.9771449702,0.376612774,0.376612774
linear,100,16,1600,4,one_bit,spillover_treated,400,-0.003938887645,0.005920030033,0.1183180896,0.0040135862,0.1183180896,0.0040135862,0,0.1184006007,0.1236451182,1.044294687,0.9675,0.008866192813,0.9451958472,0.9809101576,0.4906774791,0.4906774791
linear,200,8,1600,0.5,laplace,direct_high,400,-0.006449060197,0.01303492448,0.2604522673,0.009620560516,0.2604522673,0.009620560516,0,0.2606984895,0.2502783284,0.9600298368,0.935,0.01232629304,0.9064647858,0.9552595181,0.987075975,0.9736320677
linear,200,8,1600,0.5,laplace,direct_low,400,0.01204776973,0.01249467324,0.2498715184,0.008983520954,0.2498715184,0.008983520954,0,0.2498934649,0.2520798698,1.008749348,0.95,0.01089724736,0.9240363649,0.9674025702,0.9941810979,0.9811753245
linear,200,8,1600,0.5,laplace,spillover_control,400,0.003125067298,0.01273674501,0.2544354745,0.009613831761,0.2541196301,0.009508346912,0.0025,0.2547349001,0.254623034,0.999560853,0.955,0.01036520622,0.9299952708,0.9713485413,1.004211117,0.9911141819
linear,200,8,1600,0.5,laplace,spillover_treated,400,-0.01537176262,0.01305899549,0.2613057577,0.009533030491,0.2613057577,0.00953303049,0,0.2611799098,0.2642918931,1.011915094,0.955,0.01036520622,0.9299952708,0.9713485413,1.042344256,1.030107916
linear,200,8,1600,0.5,naive_bit,direct_high,400,-0.1246445313,0.002997235209,0.1382774143,0.002914750613,0.1382774143,0.002914750613,0,0.05994470418,0.06228516971,1.039043742,0.5,0.025,0.4512345042,0.5487654958,0.2456472961,0.2456472961
linear,200,8,1600,0.5,naive_bit,direct_low,400,-0.0997265625,0.003192724376,0.1183747834,0.002662615474,0.1183747834,0.002662615474,0,0.06385448752,0.06152870193,0.9635767871,0.62,0.0242693222,0.5715045437,0.6662125056,0.2426638528,0.2426638528
linear,200,8,1600,0.5,naive_bit,spillover_control,400,-0.0986015625,0.004298631074,0.1307481608,0.004180538231,0.1307481608,0.004180538231,0,0.08597262148,0.08699879886,1.011936095,0.8,0.02,0.7580296831,0.8362629403,0.3431157015,0.3431157015
