scenario,cluster_count,cluster_size,sample_size,epsilon,method,effect,replications,bias,mcse_bias,rmse,mcse_rmse,projected_rmse,mcse_projected_rmse,outside_parameter_space,empirical_standard_deviation,average_standard_error,standard_error_ratio,coverage,mcse_coverage,coverage_low,coverage_high,average_interval_length,average_projected_interval_length
linear,100,8,800,0.5,laplace,spillover_control,400,-0.02400172977,0.01818618106,0.3640607347,0.01218722183,0.3619334228,0.01178121628,0.0075,0.3637236213,0.3579111412,0.9840195145,0.9475,0.01115165346,0.9210780249,0.9654084716,1.420346707,1.310924594
linear,100,8,800,0.5,laplace,spillover_treated,400,0.01372013001,0.01811152573,0.3620375123,0.01287478986,0.3591227274,0.01222240398,0.005,0.3622305146,0.3711281828,1.024563552,0.9575,0.01008634597,0.9329979457,0.973298305,1.472797663,1.34065695
linear,100,8,800,0.5,naive_bit,direct_high,400,-0.1249296875,0.004541481443,0.1543917849,0.00424785833,0.1543917849,0.00424785833,0,0.09082962885,0.08832899424,0.9724689549,0.74,0.0219317122,0.6948757458,0.780558353,0.3505277754,0.3505277754
linear,100,8,800,0.5,naive_bit,direct_low,400,-0.09734375,0.00432314615,0.1301266811,0.003774682491,0.1301266811,0.003774682491,0,0.086462923,0.08680340362,1.00393788,0.785,0.0205411173,0.7421294765,0.8224485158,0.3444735698,0.3444735698
linear,100,8,800,0.5,naive_bit,spillover_control,400,-0.1080625,0.006133078498,0.1633577363,0.004900644793,0.1633577363,0.004900644793,0,0.12266157,0.1233359372,1.005497788,0.83,0.01878163997,0.7900908679,0.8636310178,0.4894505148,0.4894505148
linear,100,8,800,0.5,naive_bit,spillover_treated,400,-0.1356484375,0.006459242631,0.1872097832,0.005396495239,0.1872097832,0.005396495239,0,0.1291848526,0.1307303906,1.011963771,0.845,0.01809523418,0.8062691036,0.8771674133,0.5187949144,0.5187949144
linear,100,8,800,0.5,nonprivate,direct_high,400,0.001130718762,0.003248468123,0.06489795096,0.002299557254,0.06489795096,0.002299557255,0,0.06496936247,0.06486403156,0.9983787603,0.9625,0.009499177596,0.9390561576,0.9771449702,0.2574086219,0.2574086219
linear,100,8,800,0.5,nonprivate,direct_low,400,0.001316964731,0.002755852179,0.05506385536,0.002101758772,0.05506385536,0.002101758772,0,0.05511704358,0.05657933923,1.026530735,0.9425,0.01163977556,0.9151991623,0.9613824572,0.224531368,0.224531368
linear,100,8,800,0.5,nonprivate,spillover_control,400,-0.004582707214,0.004335385556,0.086720429,0.003041401422,0.08672042901,0.003041401423,0,0.08670771113,0.0881778573,1.016955195,0.95,0.01089724736,0.9240363649,0.9674025702,0.3499279984,0.3499279984
linear,100,8,800,0.5,nonprivate,spillover_treated,400,-0.004768953183,0.00579906711,0.1159344016,0.004109346733,0.1159344016,0.004109346733,0,0.1159813422,0.1214986079,1.047570286,0.96,0.009797958971,0.9360177523,0.9752309369,0.4821591946,0.4821591946
linear,100,8,800,0.5,one_bit,direct_high,400,0.002568733218,0.01393854769,0.2784341214,0.009511053607,0.2784341214,0.009511053607,0,0.2787709538,0.2605708441,0.9347130342,0.94,0.01187434209,0.9122771511,0.9593520299,1.034058172,1.013850962
